id,name,code,teacher_id,description,course_id,skill,country,state,target_start_date,points
43,Las Cuevas,8XvVw2,87,"Passionate, Loves to Discuss/Debate, Curious,",1,Intermediate,Dominican Republic,La Vega ,2015-01-12,25
1910,Cub Scout pack 105,du4Tko,17971,"",11,Beginner,United States,IN,2015-08-30,0
1739,Ms. Reeves' Lead Class,pJ676X,16580,"",1,Intermediate,United States,AL,2015-08-24,0
1672,8th Grade ELA - green,ysbP6c,15945,"",11,Intermediate,United States,SC,2015-09-06,0
1548,Mrs. Millwood's CREATE Class,A0dHeb,15420,"",11,Beginner,United States,GA,2015-08-20,0
1581,Year 3 Scots,BwiqJq,15626,"",1,Beginner,Australia,QLD,2015-07-26,0
1614,Wallace's World,36Omec,15836,"",11,Beginner,United States,TX,2015-09-07,0
1838,AP Human Geography,A1SFQ3,17541,"",1,Beginner,United States,GA,2015-09-07,0
2274,Wolf Pack Hour - Semester 1,w847jV,15989,"",1,Beginner,United States,PA,2015-09-16,0
348,Class 3,UwrZnw,81,"",1,Intermediate,United States,PA ,2015-01-12,0
53,The Aces,9FGI7I,97,"",1,Beginner,India,Telangana ,2015-01-12,0
38,Huerta ESP 2,X1qsaA,85,12th grade Economics,1,Beginner,United States,CA ,2015-01-12,25
28,Hawks,e22nb9,47,6th grade language arts students in Wisconsin,1,Beginner,United States,WI ,2015-01-12,25
39,Huerta ESP 3,XrawqY,85,12th grade Economics,1,Beginner,United States,CA ,2015-01-12,25
29,Owls,VsgDOD,47,5th grade language arts students in Wisconsin,1,Beginner,United States,WI ,2015-01-12,25
2030,5A-5B,nt4xvS,19013,"",11,Beginner,France,Pays de la Loire,2015-09-06,0
1788,Primagrupp 5,9Rersp,15004,"",11,Intermediate,Sweden,Stockholm County,2015-09-19,0
98,Cinnamon Rolls,YGl9H1,324,Mrs. Simoneaux's World Studies Classes,1,Intermediate,United States,TX ,2015-04-20,25
1817,Mrs. Benjamin,BJXk6w,17490,"",11,Beginner,United States,TN,2015-08-31,0
17,Palm,2XImJT,30,We love learning!,1,Beginner,United Kingdom,"",2015-01-12,25
356,Vaughn 2,o74ffs,663,"",1,Intermediate,United States,NC ,2015-01-12,0
36,9th Grade World History,Y6iX1S,84,"",1,Intermediate,United States,WA ,2015-04-06,0
686,Individual,L48pap,9262,individual student,1,Intermediate,Thailand,Bangkok ,2015-04-06,25
37,Huerta ESP,n7fuCx,85,12th grade Economics class,1,Beginner,United States,CA ,2015-01-12,25
752,Individual,GdPLWx,9670,individual student,1,Intermediate,Australia,WA ,2015-04-06,25
44,Ms. Goree's 1st Hour Reading,BK0xsl,82,Reading,1,Advanced,United States,WA ,2015-01-12,25
2240,Mrs. Black's 6th Grade SS 4th Period,eKxENS,23884,"",11,Beginner,United States,TX,2015-10-05,0
51,ESL,zGgYDx,95,High School,1,Intermediate,United States,MA ,2015-01-12,25
66,4th Block - World Geography,mCxn4x,124,"",1,Beginner,Kenya,SC ,2015-04-20,0
45,Ms. Goree's Reading Classes,OPAluN,82,Reading,1,Advanced,United States,WA ,2015-01-12,25
35,Daloia Sociology,11BI52,83,"10th-12th grade semester long, Sociology course",1,Advanced,United States,PA ,2015-04-06,25
1803,MsKlothWorldHistory,gi5fiQ,17407,"",1,Intermediate,United States,WI,2015-09-14,0
24,Mrs. Mantooth'so 7th grade class,xhTh5J,41,This is an elentire class for 7th graders. We cover a different topic daily,1,Intermediate,United States,OK ,2015-01-12,25
92,Pingel's Third Grade,Csl2b6,232,Small group of 15 students who use chrome books for technology.  We meet four days a week.,1,Beginner,United States,NC ,2015-01-12,50
2065,Wilcox Literacy,RltkmB,19768,"",1,Beginner,United States,IA,2015-09-07,0
91,Pingel's 4th Grade Enrichment,u6ZGXV,232,Group of 15 students who receive technology instruction using chrome books every day for 40 minutes,1,Beginner,United States,NC ,2015-01-12,50
10,1-Hall,H9ujOq,17,"Grade 1 class in Ontario, Canada",1,Beginner,Canada,ON ,2015-01-12,25
52,SJS Grade 8,MqJPdN,96,"This is the 8th grade's first time using PenPal Schools, and we are excited!",1,Intermediate,United States,IL ,2015-01-12,25
23,Lynch Classroom,9ruqwU,39,5th Grade General,1,Beginner,United States,IL ,2015-01-12,25
323,Rhodah's 12 Year Olds,hUGGxl,4179,"",1,Intermediate,Kenya,"",2015-01-12,0
1960,Resource ELA,pHlxg5,18265,"",11,Beginner,United States,NC,2015-09-20,0
2135,Mrs. I's Students,4NjzkM,21666,"",11,Beginner,Canada,AB,2015-09-28,0
2205,Helpings Hands,bKmqAf,18793,"",1,Advanced,United States,TX,2015-09-21,0
2170,Mrs. Davis's class,23AYlw,22269,"",11,Beginner,United States,AL,2015-09-14,0
2100,PFFNHS World Cultures,SwwnE3,20647,"",11,Beginner,Canada,ON,2015-09-14,0
2307,Grade 12,Pt98nZ,25211,"",11,Beginner,Kuwait,Al Asimah,2015-10-05,0
1995,Lions 1,NHeQ2f,14785,"",11,Beginner,United States,NC,2015-09-10,0
1853,World History Honors,dSvSME,1993,"",11,Advanced,United States,NC,2015-09-07,0
2171,English Center Israel,lEBrt5,14519,"",1,Intermediate,Israel,"",2015-11-01,0
1961,Ms. Maroki's Shining 4th grade!,RTLKzO,18269,"",11,Beginner,United States,MI,2015-11-01,0
2031,Quinto Placeres,I6BWJz,19019,"",11,Beginner,Spain,GA,2016-01-10,0
2136,SPA 5 Señor Gutiérrez,qEf7xL,21690,"",11,Advanced,United States,MI,2015-09-28,0
2436,Third Period Dolen,jVjVZk,14617,"",12,Intermediate,United States,KY,2015-09-28,0
1911,FloMo 3rd,8RuT0n,17972,"",1,Beginner,United States,TX,2015-08-31,0
2101,Mrs. Bibayoff's Core Class,Kk0SSC,20648,"",1,Intermediate,United States,CA,2015-09-14,0
101,Room 7 - Mrs. Robowski - First Grade,8F8gF0,328,First Grade,1,Beginner,United States,CA ,2015-02-23,25
95,Young Leaders,V2Mr5n,283,"45 young minds working towards excellence performance by showing values like Respect, Team work, Love, Honesty",1,Beginner,India,Telangana ,2015-01-12,50
311,George 3,RoZBDi,597,"",1,Intermediate,United States,CT ,2015-02-23,0
64,1st Block - World Geography,wuZcg7,124,"",1,Beginner,Turkey,SC ,2015-04-20,0
