2	How could using alternative energy sources be useful in your community? Some examples of alternative energy sources are: wind, solar, hydroelectric, geothermal, and biofuels/biogas. 	How could using alternative energy sources be useful in your community? Some examples of alternative energy sources are: wind, solar, hydroelectric, geothermal, and biofuels/biogas. 	How could using alternative energy sources be useful in your community? Some examples of alternative energy sources are: wind, solar, hydroelectric, geothermal, and biofuels/biogas. 
3	Do you think that using pistachio nut shells is a good way for Turkey to get energy? Why or why not? 	Do you think that projects like Turkey’s “eco-city” are the way of the future? Or do think that these “eco-cities” will just be expensive experiments? Stake a claim and use evidence from the article to support your opinion. 	According to the article, “skeptics doubt these idealistic projects will ever be fully realized”. Do you, like the scientists, think that projects like Turkey’s “eco-city” are the way of the future? Or do you agree with the skeptics and think that these “eco-cities” will just be expensive experiments? Stake a claim and use evidence from the article to support your opinion.
4	Ask your PenPal a question about the environment where they live. Some possible topics you could ask your PenPal a question about are: alternative energy, protection of natural resources, plants and animals, or anything else you want to know about the environment where your PenPal lives.	Ask your PenPal a question about the environment where they live. Some possible topics you could ask your PenPal a question about are: alternative energy, protection of natural resources, plants and animals, or anything else you want to know about the environment where your PenPal lives.	Ask your PenPal a question about the environment where they live. Some possible topics you could ask your PenPal a question about are: alternative energy, protection of natural resources, plants and animals, or anything else you want to know about the environment where your PenPal lives.
6	Thankfully, children in the USA are not forced to go to war.  However, in the past 18-year-old Americans have been forced to fight.  Do you think a government should be able to force its citizens to fight in a war?  Why or why not?	Thankfully, children in the USA are not forced to go to war.  However, in the past 18-year-old Americans have been forced to fight (such as those drafted for the Vietnam War in the 1960s and 70s).  Do you think a government should be able to force its citizens to fight in a war?  Why or why not?	Thankfully, children in the USA are not forced to go to war.  However, in the past 18-year-old Americans have been forced to fight (such as those drafted for the Vietnam War in the 1960s and 70s).  Do you think a government should be able to force its citizens to fight in a war?  Why or why not?
7	According to the article, some children choose to join ISIS but others are forced to join.  How does ISIS force or convince children to put themselves in such extreme danger?  	According to the article, some children choose to join ISIS but others are forced to join.  How does ISIS force or convince children to put themselves in such extreme danger?  	According to the article, some children join ISIS by choice while others are forced to enlist.  How does ISIS force or persuade children to put themselves in such extreme danger?  Use evidence from the article to support your answer.
8	People around the world have different types and amounts of technology that they use everyday. Ask your PenPal a question about how he or she uses technology in his or her daily life.	People around the world have different types and amounts of technology that they use everyday. Ask your PenPal a question about how he or she uses technology in his or her daily life.	People around the world have different levels of access to technology. Ask your PenPal a question about how he or she uses technology in his or her daily life.
9	Robots are being used for many things - they are used in warehouses to find things more quickly, in stores to make coffee, in hospitals to give medications, and in solar farms to clean solar panels. Do you think that we should use robots to do jobs that could be done by humans? Why or why not?	Robots are being used for many things - they are used in warehouses to find things more quickly, in stores to make coffee, in hospitals to give medications, and in solar farms to clean solar panels. Do you think that we should use robots to perform jobs that could be done by humans? Why or why not? Use evidence from the article to support your claim.	Robots are being used for many things - they are used in warehouses to find things more quickly, in stores to make coffee, in hospitals to give medications, and in solar farms to clean solar panels. Do you think that we should use robots to perform jobs that could be done by humans? Why or why not? Use evidence from the article to support your claim.
10	If you had a robot, what one task would you want it to do for you? For your family? For your community? Why?	If you had a robot, what one task would you want it to do for you? For your family? For your community? Why?	If you had a robot, what one task would you want it to do for you? For your family? For your community? Why?
11	Ask your PenPal a question about the role religion plays in the government of his or her country.	Ask your PenPal a question about the role religion plays in the government of his or her country.	Ask your PenPal a question about the role religion plays in the government of his or her country.
12	Saudi Arabia's population is almost 100% muslim (excluding foreign workers) and Saudi Arabian laws are based on the Islamic religion. Do you think that Saudi laws should be different for women than they are for men if the religion of the majority of the population demands it?	Saudi Arabia's population is almost 100% muslim (excluding foreign workers) and Saudi Arabian laws are based on the Islamic religion. Do you think that Saudi laws should be different for women than they are for men if the religion of the majority of the population demands it?	Saudi Arabia's population is almost 100% muslim (excluding foreign workers) and Saudi Arabian laws are based on the Islamic religion. Do you think that Saudi laws should be different for women than they are for men if the religion of the majority of the population demands it?
5	Ask your PenPal a question about the impact that a war or conflict has had on his or her community. 	Ask your PenPal a question about the impact that a war or conflict has had on his or her community. 	Ask your PenPal a question about the impact that a war or conflict has had on his or her community. \r\n
730	Which topic are you most excited to explore with your PenPals?	Which topic are you most excited to explore with your PenPals?	Which topic are you most excited to explore with your PenPals?
14	People in the United States have very different opinions on immigration. Use evidence from the article to explain President Obama’s point of view.	People in the United States have very different opinions on immigration. Use evidence from the article to explain President Obama’s point of view.	People in the United States have very different opinions on immigration. Use evidence from the article to explain President Obama’s point of view.
15	Do you agree or disagree with President Obama’s opinion? Describe how immigration impacts your community to support your opinion.	Do you agree or disagree with President Obama’s opinion? Describe how immigration impacts your community to support your opinion.	Do you agree or disagree with President Obama’s opinion? Describe how immigration impacts your community to support your opinion.
16	Ask your PenPal a question about how immigration has affected them or others in their community.	Ask your PenPal a question about how immigration has affected them or others in their community.	Ask your PenPal a question about how immigration has affected them or others in their community.
17	There have been many protests in the United States in response to police violence. Do you think that these protests will help end police violence? Why or why not?	There have been many protests in the United States in response to police violence. Do you think that these protests will help end police violence? Why or why not? Reference evidence from the article to support your response.	Protesters have been especially active across the United States in the wake of multiple instances of what they call police brutality. Do you think that these protests will be effective? Why or why not? Reference evidence from the article to support your response.
18	Think of an issue that you are passionate about. How would you plan or participate in a protest about that issue?	Think of an issue that you are passionate about. How would you plan or participate in a protest about that issue?	Think of an issue that you are passionate about. How would you plan or participate in a protest about that issue?
731	Which topic are you most excited to explore with your PenPals?	Which topic are you most excited to explore with your PenPals?	Which topic are you most excited to explore with your PenPals?
20	There are lots of popular new technologies in the United States including phones, video games, and solar panels. Ask your PenPal about what types of technology he or she uses or sees in his or her community.	There are lots of popular new technologies in the United States including phones, video games, and solar panels. Ask your PenPal about what types of technology he or she uses or sees in his or her community.	There are lots of popular new technologies in the United States including phones, video games, and solar panels. Ask your PenPal about what types of technology he or she uses or sees in his or her community.
21	People around the world use 3-D printers for making art, food, tools, and many other things. If you had a 3-D printer, what would you make? Why?	People around the world use 3-D printers for making art, food, tools, and many other things. If you had a 3-D printer, what would you make? Why?	People around the world use 3-D printers for making art, food, tools, and many other things. If you had a 3-D printer, what would you make? Why?
22	If you were in space, would you want to print the items you need on a 3-D printer rather than bringing them with you? Why or why not?	If you were in space, would you want to print the items you need on a 3-D printer rather than bringing them with you? Why or why not? Use evidence from the article to support your response.	If you were in space, what would be the advantages and disadvantages of printing the items you need on a 3-D printer rather than bringing them with you? Use evidence from the article to support your response.
23	Living in poverty might be different in the United States than in your country. Ask your PenPal about what it means to live in poverty where he or she lives.	Living in poverty might be different in the United States than in your country. Ask your PenPal about what it means to live in poverty where he or she lives.	Living in poverty might be different in the United States than in your country. Ask your PenPal about what it means to live in poverty where he or she lives.
24	How would you feel if you had to choose between helping your family or going to school?	Jairo, like many other students living in poverty in the United States, had to choose between helping his family and going to school to try to escape poverty. How would you feel if you had to make this type of choice?	Jairo, like many other students living in poverty in the United States, had to choose between helping his family and pursuing his education to try to escape poverty. How would you feel if you had to make this type of choice?
25	In the United States, many people think that if you work hard you can do anything. Do you agree or disagree with this idea? Why or why not? Refer to parts of Jairo's story in your response.	In the United States, many people think that if you work hard you can do anything. Do Jairo and his family believe in this idea? Do you and your family believe in this idea? Reference evidence in the article as you respond to this question.	In the United States, many people think that if you work hard you can do anything. Do Jairo and his family believe in this idea? Do you and your family believe in this idea? Reference evidence in the article as you respond to this question.
26	Imagine you were in a situation in which you had to leave your home (because of war, a natural disaster, or another terrible event). What help would need from your community?	Imagine you were in a situation in which you were displaced from your home (due to war, a natural disaster, or another similarly unfortunate event). What support would need from your community?	Imagine you were in a situation in which you were displaced from your home (due to war, a natural disaster, or another similarly unfortunate event). What support would need from your community?
42	What are some similarities and differences between food in your country and food in the United States?	What are some similarities and differences between food in your country and food in the United States?	What are some similarities and differences between food in your country and food in the United States?
612	Who are two people who help Alcides? How do these people help Alcides? Does Alcides help them in return?	Alcides explains that, “Not all orphans have someone to live with and take care of them, but that’s what we all want.” What struggles do young people face in your community?	Who is an important person that you consider to be part of your “family?” How has this person helped you survive and grow? Ask your pen pal a question about the important person he or she chose to share.
27	Who do you think should be helping the refugees? Do you think rich countries should be helping the most? Or do you think that Syria’s neighbors should help more? Use evidence from the text to support your response.	Who do you think should be helping the refugees? Do you think rich countries should be helping the most? Or do you think that Syria’s neighbors should help more? Use evidence from the text to support your response.	According to the article, about half of Syria’s population has, to date, been displaced by the civil war that began in 2011. Do you think “rich nations”, like the United States, have a responsibility to support the refugees or do you think that Syria’s neighbors, such as Turkey and Jordan, should provide the majority of the support? Use evidence from the text to support your response.
28	You learned in this week’s video that poverty is different across the world. Find out what living in poverty is like where your PenPal lives.	You learned in this week’s video that poverty is different across the world. Find out what living in poverty is like where your PenPal lives.	You learned in this week’s video that poverty is different across the world. Find out what living in poverty is like where your PenPal lives.
732	Which topic are you most excited to explore with your PenPals?	Which topic are you most excited to explore with your PenPals?	Which topic are you most excited to explore with your PenPals?
30	How does saving sea otters positively affect the environment? Use evidence from the text to support your opinion.	How does saving sea otters positively affect the environment? Use evidence from the text to support your opinion.	This article discusses saving sea otters to benefit not only the species but also the entire ecosystem they are part of. Do you think that we, as humans, have a responsibility to save the ecosystems around us? Or should we let nature take its course? Stake a claim and use evidence from the text to support your opinion.
31	Sea otters are cute animals that many people want to save. Do you think that people would be as motivated to try to protect an animal that was ugly? Why or why not?	Sea otters are cute animals that many people want to save. Do you think that people would be as motivated to try to protect an animal that was ugly? Why or why not?\t	Sea otters are cute animals that many people want to save. Do you think that people would be as motivated to try to protect an animal that was ugly? Why or why not?\t
32	Think about a holiday or celebration in your country. Describe the celebration to your Penpal and ask him or her if they celebrate something similar.	Think about a holiday or celebration in your country. Describe the celebration to your Penpal and ask him or her if they celebrate something similar.	Think about a holiday or celebration in your country. Describe the celebration to your Penpal and ask him or her if they celebrate something similar.
33	Listen to a song by an American singer or music group. Do you like this song? Why would you or would you not recommend this song to someone else?	Listen to a song by an American singer or music group. Do you like this song? Why would you or would you not recommend this song to someone else?	Listen to a song by an American singer or music group. Do you like this song? Why would you or would you not recommend this song to someone else?
34	Who is your favorite American celebrity? What do you know about this person? What would you like to learn about this person?	Who is your favorite American celebrity? What do you know about this person? What would you like to learn about this person?	Who is your favorite American celebrity? What do you know about this person? What would you like to learn about this person?
35	Why do you think art is important?	Why do you think art is important?	Why do you think art is important?
36	Think about a famous artist or writer in your country. Describe this person to your Penpal. Mention his or her history and why this person is famous in your country.	Think about a famous artist or writer in your country. Describe this person to your Penpal. Mention his or her history and why this person is famous in your country.	Think about a famous artist or writer in your country. Describe this person to your Penpal. Mention his or her history and why this person is famous in your country.
37	Find more information about one of the authors or artists from the video or the text. Do you like this person’s art? Explain why or why not.	Find more information about one of the authors or artists from the video or the text. Do you like this person’s art? Explain why or why not.	Find more information about one of the authors or artists from the video or the text. Do you like this person’s art? Explain why or why not.
38	What are some similarities and differences between history in your country and history in the United States? What are some elements of the the two countries’ histories that you can compare?	What are some similarities and differences between history in your country and history in the United States? What are some elements of the the two countries’ histories that you can compare?	What are some similarities and differences between history in your country and history in the United States? What are some elements of the the two countries’ histories that you can compare?
39	Why do many people consider the United States the most powerful country in the world? Do you agree or disagree?	Why do many people consider the United States the most powerful country in the world? Do you agree or disagree?	Why do many people consider the United States the most powerful country in the world? Do you agree or disagree?
40	How many meals do you eat every day? When kind of foods do you eat for different meals (breakfast, lunch and dinner)?	How many meals do you eat every day? When kind of foods do you eat for different meals (breakfast, lunch and dinner)?	How many meals do you eat every day? When kind of foods do you eat for different meals (breakfast, lunch and dinner)?
41	What are some foods from the United States that you have tried? How did it taste? What did you like about it? Do you think that the food you have tried was authentic? Why?	What are some foods from the United States that you have tried? How did it taste? What did you like about it? Do you think that the food you have tried was authentic? Why?	What are some foods from the United States that you have tried? How did it taste? What did you like about it? Do you think that the food you have tried was authentic? Why?
43	Ask your Penpal about his or her life. What does he or she do for fun? What interests or hobbies does your PenPal have? Does your PenPal agree or disagree with a fact that surprised you from the text?	Ask your Penpal about his or her life. What does he or she do for fun? What interests or hobbies does your PenPal have? Does your PenPal agree or disagree with a fact that surprised you from the text?	Ask your Penpal about his or her life. What does he or she do for fun? What interests or hobbies does your PenPal have? Does your PenPal agree or disagree with a fact that surprised you from the text?
44	How would you describe eating in the United States? Are there many foods in your country similar to those in the United States?	How would you describe eating in the United States? Are there many foods in your country similar to those in the United States?	How would you describe eating in the United States? Are there many foods in your country similar to those in the United States?
45	How would you compare and contrast life in your country with life in the United States?	How would you compare and contrast life in your country with life in the United States?	How would you compare and contrast life in your country with life in the United States?
13	What role do Twitter and other types of media play in cultural discussions and changing laws in Saudi Arabia? Refer to the article as you think of your response.	What role do Twitter and other types of media play in cultural discussions and changing laws in Saudi Arabia? Refer to the article as you formulate your response.	What role do Twitter and other types of media play in cultural discussions and changing laws in Saudi Arabia? Refer to the article as you formulate your response.
70	What are some similarities between your culture and that of your PenPal's country?	What are some similarities between your culture and that of your PenPal's country?	What are some similarities between your culture and that of your PenPal's country?
