id,questionresponse_id,match_id
25419,391297,66962
2,379775,70537
25420,391297,67053
71916,435442,82687
25422,391297,67388
6,379413,70537
7723,385427,73015
132264,487702,85865
25747,396214,74268
10,379549,70621
25748,396214,76762
12,379549,67105
16291,386299,73986
25749,396214,71221
168965,523672,88786
16,372193,67105
16294,386299,71668
18,377474,70621
16508,393674,71611
20,377474,67105
21,373913,66092
22,373913,67478
16509,393674,71142
25750,396214,72208
35804,407028,76105
35805,407028,74666
52745,401839,75470
28,374030,66108
71917,435442,81055
35807,407028,76838
26048,398120,73073
8335,387501,73380
53311,415467,76223
132266,487702,86793
36186,408376,70887
36187,408376,75360
132267,487702,86779
26050,398120,72867
53313,415467,73331
8448,386068,70783
41,375516,65749
42,375516,66100
8561,388684,77345
44,375516,66337
36977,402919,75168
36978,402919,73069
8563,388684,73476
48,378295,66337
71919,435442,80898
26051,398120,77479
8657,383360,71946
8658,383360,76734
53,378317,65749
8659,383360,77079
8728,387243,78128
56,378317,66337
8729,387243,74333
8730,387243,72260
16906,379448,65461
60,377921,67945
61,378811,65749
16907,379448,63861
8800,388279,76254
8801,388279,77794
65,378113,71749
36980,402919,72947
8802,388279,76131
133362,488155,86824
8858,388072,73061
26316,397444,69867
71,371323,71749
37361,393451,66255
73,380066,66774
8859,388072,74076
8860,388072,73589
133363,488155,89050
77,378583,71897
78,378583,71785
26317,397444,69368
8908,388266,73061
73463,421394,75899
8909,388266,74076
8910,388266,73589
84,376500,66623
133364,488155,88464
26318,397444,70349
8942,389366,73061
88,373843,66774
8943,389366,74076
8944,389366,73589
26319,397444,66357
92,376498,66623
93,376498,64445
8973,384235,78701
95,376498,65844
8974,384235,73076
133365,488155,88294
98,380075,70489
99,380075,69356
8975,384235,77790
8995,384474,69530
8996,384474,66599
54333,421910,82149
104,380302,70489
105,380302,69356
16908,379448,65361
107,377670,67420
134448,488983,91803
9045,372839,63842
111,365069,68875
112,365069,67041
9053,389396,77755
26946,399432,72199
26947,399432,70580
116,368594,70092
117,368594,67049
9055,389396,73516
119,369559,70270
120,369559,68269
121,369559,69661
122,368627,69386
123,368627,69002
102121,462835,86788
125,368627,66185
126,368641,69386
127,368641,69002
102122,462835,83498
129,368641,66185
134449,488983,89832
131,376965,69950
9056,389396,75915
133,376965,68091
102124,462835,86780
135,379195,69866
55305,418262,80985
137,379195,64018
138,378365,69386
139,378365,69002
140,378365,66360
141,378365,66185
55306,418262,82648
134450,488983,91260
38088,408614,68995
102831,462844,76594
146,369556,69017
147,369556,70270
148,369556,68269
149,369556,69661
150,379158,70267
151,379158,69866
152,379158,69465
153,379158,64018
154,376382,69114
38089,408614,68769
156,376382,69423
17313,370539,68837
158,375378,66378
55307,418262,79139
160,375378,68546
161,375378,68871
102832,462844,75124
9069,388773,72768
164,367795,66175
102833,462844,76715
38427,403324,70950
9071,388773,76219
55308,418262,82304
170,368412,69114
172,368412,69423
9075,388547,76791
175,375340,66359
17678,388126,74288
177,375340,66189
179,367273,70270
180,367273,68269
182,380352,69457
183,380352,68052
184,380352,69506
185,380352,66180
186,375351,70350
187,375351,66188
188,375351,69493
189,375351,66348
9076,388547,68621
7724,386844,77588
192,372603,66462
7725,386844,77140
7726,386844,77392
25423,383397,71137
71920,435340,82694
52158,419250,82181
7859,384265,78132
16295,387426,72147
200,367121,69155
201,367121,64022
202,367121,69476
203,376295,69177
204,376295,69818
16296,387426,71013
206,376295,65866
16297,387426,76663
52159,419250,80477
132268,489324,89320
210,377708,68693
16298,387426,72587
212,367236,69155
213,367236,64022
214,367236,69476
215,376896,70053
216,376896,68998
217,376896,66165
218,376896,68040
16512,392407,74868
220,366284,69155
221,366284,64022
222,366284,69476
72681,430313,80791
224,378413,67122
16513,392407,76430
226,378413,67167
98425,432676,71911
25424,383397,76784
229,377693,66462
8101,388358,77479
25425,383397,76863
232,378202,68866
233,378202,67028
234,378202,69064
236,373505,68328
52747,393051,75470
238,373505,68533
8216,381682,63995
240,378730,71518
241,378730,71041
8336,388383,72858
243,376854,71529
244,376854,67604
245,376854,71505
246,376854,71742
247,373403,70221
8337,388383,77477
249,373403,71830
16711,387579,72913
251,379108,71739
252,379108,70122
35811,407157,76151
254,379108,71525
8339,388383,72300
8449,388082,76496
133366,479485,87937
258,372636,71741
259,376091,69736
260,376091,67097
261,376091,69589
8451,388082,74360
263,379872,70550
264,379872,68276
265,379872,70119
266,379872,68369
267,376893,70550
268,376893,68276
269,376893,70119
270,376893,68369
271,378470,70221
272,378470,71729
273,378470,71830
8452,388082,72007
52748,393051,77601
276,378646,68276
277,378646,70119
278,378646,68369
279,380413,68767
280,380413,70219
281,380413,68748
8565,385162,74337
8566,385162,74432
72683,430313,80204
285,380251,69488
286,380251,69512
287,380251,69539
288,380404,69736
289,380404,67097
8568,385162,73319
291,380404,67248
36189,403919,74750
8660,388998,75998
294,371073,67240
72684,430313,81575
296,379719,68767
297,379719,70219
298,379719,68748
16712,387579,73071
8662,388998,75717
301,378758,69773
26320,374892,67773
303,378758,68271
36190,403919,70922
305,372650,66473
306,372650,68769
307,372650,68995
36191,403919,71619
309,372614,68328
36566,408675,69550
311,372614,68533
312,369151,69445
313,369151,68281
314,369151,65963
315,369151,68019
16714,387579,73155
317,372033,69055
318,372033,68526
8732,384674,74342
36567,408675,68853
8804,387821,73904
322,365628,68329
8805,387821,73251
324,376815,67144
325,376815,69570
326,376815,69731
327,376815,66919
134451,488983,89774
329,365620,67157
36568,408675,69949
170158,527978,94456
73468,438674,78928
333,380473,69894
27482,387857,77981
335,380473,70193
336,380117,70321
53800,418384,79464
338,380117,68432
339,380117,66603
36981,403904,75168
73469,438674,81168
342,376501,67615
99479,459667,84648
8913,387390,71991
8914,387390,70975
27749,393885,70921
36982,403904,73069
36983,403904,74344
349,378558,67450
170159,527978,93635
352,367773,69034
353,367773,68795
354,367773,69083
355,367773,70165
356,368300,66051
358,368300,63789
359,368300,65269
361,377761,68907
8977,366573,67613
363,377761,69822
8978,366573,64917
365,378066,67450
8979,366573,68814
8999,380728,69530
9000,380728,66599
28247,399772,78474
371,380210,69822
372,380487,70183
373,380487,69806
374,380487,69037
375,380487,70218
376,376518,69535
9028,380590,69530
9029,380590,66599
133367,488152,86824
16069,387894,77294
381,372891,67617
382,372891,70230
383,372891,68117
7730,387503,71900
385,373400,69926
386,373400,69085
387,373400,69030
388,375141,67080
25426,395229,72742
390,379098,65563
391,379098,64330
392,379098,64599
393,377607,67221
7731,387503,71235
99481,459667,86669
7862,388208,72609
36192,401176,75988
52749,415973,70209
7864,388208,71589
16072,387894,76846
36570,384329,79217
7865,388208,71969
100447,462113,75639
404,374987,68340
36572,384329,76814
7989,382728,74881
407,374987,69073
408,365917,68169
409,365917,66099
410,365917,69219
411,365917,67577
36984,403904,72947
16299,391436,78134
414,380477,68782
415,380477,66857
416,370481,66738
7992,382728,76787
8102,384832,71867
8217,384037,75128
52750,415973,67496
16300,391436,76120
8340,387257,78774
133368,488152,89050
8341,387257,78684
425,380172,68436
426,380172,68782
427,380172,66857
37366,406096,78482
72685,434280,72753
100448,462113,75356
16301,391436,74231
432,376658,66727
37367,406096,77603
434,376658,68887
435,376658,66747
436,377964,66738
8342,387257,72258
16302,391436,74412
37368,406096,75510
440,370137,70509
16516,383775,73514
442,370137,66384
443,370137,69058
444,377335,66287
445,377335,64376
8455,388437,70881
447,368536,69237
448,368536,66625
52751,415973,66418
72687,434280,72499
451,379403,64372
452,378931,66737
454,378931,68615
455,378931,68543
456,376090,64373
457,378333,63510
458,378333,64136
459,378333,63599
460,378333,63965
37729,396555,74437
462,358696,64341
463,358696,65354
464,358696,63858
133369,488152,88464
8571,386128,77084
100450,462113,72576
468,376623,67605
101311,464777,73525
470,378368,63510
471,378368,64136
37730,396555,73555
473,378368,63965
474,378371,65045
475,378371,63509
16910,366212,64868
477,378371,63975
478,378918,67116
479,378918,70375
480,378918,66377
481,378918,68649
37731,396555,76810
133370,488152,88294
16911,366212,63857
16912,366212,65347
486,379207,64769
487,379207,64578
488,379207,64885
489,379207,64339
490,378363,65046
491,378363,63768
492,378363,63500
493,369415,65045
494,369415,63509
16913,366212,64668
496,369415,63975
37732,396555,74924
498,379392,64372
499,369396,65045
500,369396,63509
52752,415973,69827
502,369396,63975
8572,386128,76442
504,372839,69530
505,372839,66599
38090,409538,71878
26053,393611,73580
508,377789,65489
509,377789,64285
510,377789,65367
511,377789,64722
512,369206,64658
513,369206,64577
514,369206,64342
516,375852,65489
517,375852,64285
518,375852,65367
519,375852,64722
38092,409538,79051
521,375210,63527
522,375210,64045
523,375210,64139
17847,394792,70275
525,363843,63527
526,363843,64045
527,363843,64139
53317,423426,80744
529,369299,66855
26321,399875,74071
135451,459795,86384
53318,423426,82459
533,369290,66855
38429,403324,73133
135452,459795,85188
536,375633,65418
537,375633,64336
53802,418384,82978
8665,388805,74365
540,372867,65970
26324,399875,74599
542,372867,69646
543,372867,66673
17848,394792,69491
545,380579,63766
546,380579,64199
547,380579,63506
38721,409691,72137
549,376513,66855
54335,403733,74130
135453,459795,85558
135454,459795,85610
553,376906,66855
27211,389547,72754
556,380591,66939
17849,394792,66169
559,358107,63527
560,358107,64045
561,358107,64139
563,369284,66855
27750,396660,71380
27751,396660,70909
27752,396660,72091
566,379681,65034
567,379681,63766
568,379681,64199
569,379681,63506
570,357681,63606
571,357681,63527
572,357681,64045
573,357681,64139
574,372984,68129
7732,381207,66600
576,372984,71488
577,372984,70904
578,374504,65970
7733,381207,66011
580,374504,69646
581,374504,66673
582,372517,65970
7734,381207,66046
584,372517,69646
585,372517,66673
586,372256,65970
7735,381207,65733
588,372256,69646
589,372256,66673
590,368013,65970
25428,399462,76215
592,368013,69646
593,368013,66673
594,380392,68843
7867,382868,73942
16073,383141,72580
7869,382868,75689
16074,383141,72608
599,357633,63527
600,357633,64045
601,357633,64139
7993,388358,73073
35813,402443,74104
25430,399462,77541
132271,458983,78939
606,380624,66833
52753,418776,79387
608,380624,68094
609,380624,66811
610,379719,67984
7996,388358,72867
16303,387987,77739
8104,386873,72162
16304,387987,77681
615,368256,66833
8106,386873,72307
71922,431984,76158
618,368256,66811
619,361637,65046
620,361637,63768
621,361637,63500
622,361457,63615
623,361457,64202
624,361457,65031
168968,525379,92360
626,374539,66399
35814,402443,76782
8344,387293,75553
25431,399462,77749
35815,402443,71380
631,371736,64858
632,371736,63843
633,371736,65355
71923,431984,72929
635,357678,65046
16306,387987,71433
637,357678,63500
71924,431984,76875
8347,387293,66266
640,380667,63616
641,380667,64201
642,380667,63600
643,380667,65027
99482,456157,86674
645,380670,69790
646,380670,69026
647,380670,68904
36194,402140,71300
649,371255,67246
8457,388880,69016
8458,388880,70268
652,379096,65501
36195,402140,70115
654,379096,65566
655,380587,63506
36196,402140,71356
657,380587,64199
658,380587,63766
659,372913,66475
660,372913,67152
661,372913,68046
662,372913,67024
8459,388880,69109
664,372527,67112
665,372527,68044
666,372527,67033
667,365893,66475
668,365893,67152
669,365893,68046
8573,382151,68407
36197,402140,72218
36573,408681,70033
673,379174,65510
674,379174,64720
16915,393916,74748
53319,404711,66273
677,379517,65510
678,379517,64720
679,361629,63510
680,361629,64136
681,361629,63599
682,361629,63965
683,378253,66475
684,378253,67152
685,378253,68046
686,378253,67024
687,361244,63510
688,361244,64136
689,361244,63599
690,361244,63965
691,361056,63510
692,361056,64136
693,361056,63599
694,361056,63965
695,361046,63510
696,361046,64136
697,361046,63599
698,361046,63965
699,370381,66308
8574,382151,67076
701,368636,67897
8575,382151,67124
703,368636,69147
8576,382151,67731
705,379005,64824
706,379005,65426
707,379005,65252
708,376976,70587
709,376976,69357
710,376976,70991
711,376976,70004
712,380066,69251
8667,388805,72864
714,380436,68297
715,380436,66759
716,380436,69359
36574,408681,66809
168969,525379,91886
16917,393916,78013
8736,388719,77541
721,377806,70365
53803,412560,71703
36575,408681,70328
53804,412560,76998
727,380762,67320
36985,401213,76725
729,380762,67331
730,378392,70503
53806,412560,77346
733,378392,70802
734,376359,67662
735,376359,65785
8865,389186,77597
8866,389186,75022
54336,403733,74610
739,368970,70372
101313,464777,78294
741,376379,67584
742,376379,66548
101314,464777,71851
744,376559,67643
745,376559,69830
746,376559,68805
747,376559,68695
748,373017,70251
749,373017,68041
750,373017,65792
753,375172,68232
754,375172,67476
756,376370,71701
757,376370,68430
758,376370,69360
7736,385746,72222
760,376374,69040
761,376374,70293
98428,462123,86270
35817,407472,78211
132272,489054,90858
765,369477,68232
766,369477,67476
767,369477,65791
768,379990,71232
769,379990,67457
770,379990,66507
771,379649,68606
25432,383418,71083
168970,525379,91796
774,379649,69836
775,376325,71203
776,376325,67748
7739,385746,72756
778,366452,68606
25433,383418,75150
35819,407472,78202
25434,383418,70646
782,380250,67345
783,380250,70003
7872,388045,72766
785,380250,68071
786,374027,70251
787,374027,68041
7873,388045,74519
789,374027,69708
790,380116,64535
791,380116,70254
792,380116,66510
793,380116,66296
794,378517,69040
795,378517,70293
796,378517,66530
797,378517,65831
798,375523,69209
7997,384525,72260
800,375523,67458
8107,387350,73073
802,379089,64955
16521,390800,67542
804,379089,64707
25435,383418,72757
806,374323,69048
807,374323,70320
808,374323,68338
809,374323,68896
810,379300,67662
52757,408580,69782
812,377084,69393
8109,387350,77479
814,377084,68074
815,377084,68164
71927,419583,82127
817,380765,67584
818,380765,66548
8110,387350,72867
820,378671,66295
821,378671,66558
822,378671,68050
823,376547,66876
132274,489054,91093
36577,386285,75103
16919,380153,68608
17132,385914,68318
170160,527978,93973
8348,386311,75737
830,380784,66765
831,377722,67039
832,377722,68660
833,377722,67098
834,377722,68865
835,380316,69261
8349,386311,75698
17133,385914,67684
838,380316,64445
839,380792,68902
840,380792,69021
25760,383397,74468
842,380792,65790
26056,388942,77772
844,377462,66612
845,377462,68447
133373,490038,89411
8462,384594,76084
848,380750,70621
849,380750,70339
850,380750,67105
17135,385914,65883
8577,380932,68407
853,368357,67167
854,368357,68701
855,359462,64964
856,359462,64705
857,359462,65561
858,359462,64764
859,360747,64420
26057,388942,76209
861,360747,63916
862,380054,64800
863,380054,65377
864,380054,65609
865,380054,65132
170161,527978,94266
8578,380932,67076
868,376803,69167
8579,380932,67124
17316,392536,75674
871,376803,67799
36987,401213,71153
171138,515733,93640
36988,401213,73984
875,379618,70394
171139,515733,93273
26058,388942,69750
8738,386232,77134
17318,392536,74950
17319,392536,75716
881,373125,70560
17504,392616,71300
883,373125,70721
73472,438790,79951
17505,392616,70115
171140,515733,94341
887,373402,70394
888,380527,75620
889,380527,71562
890,380527,69601
891,380527,67250
73473,438790,78928
8812,388209,76254
136366,435754,83421
895,372643,70394
896,359304,64392
8813,388209,77794
898,359304,66448
8814,388209,76131
900,373130,66431
136367,435754,81328
17506,392616,71356
17507,392616,72218
905,378584,71040
906,378584,70121
907,378584,66438
908,378074,71727
26059,388942,77648
37733,385184,76892
73474,438790,81168
37734,385184,73014
8915,386912,67828
136369,435754,84970
915,379615,70394
916,379908,66498
917,379908,66550
918,379908,69031
919,379908,67596
37736,385184,74465
921,378382,64119
922,378382,64065
923,378382,71745
924,380409,74671
26327,394236,67256
926,380409,70366
927,380409,69880
8917,386912,76565
929,378549,66873
930,378549,67754
931,378549,64439
932,379505,66498
933,379505,66550
934,379505,69031
935,379505,67596
936,376476,66830
937,376476,70497
8918,386912,70840
8949,386933,65970
940,376462,66830
941,376462,70497
53808,422336,70950
71930,438198,82687
132276,444952,84368
944,377995,66830
945,377995,70497
52758,422057,66459
16308,392662,77791
948,378047,67767
52759,422057,69055
16309,392662,70419
7875,385088,70766
952,359165,65939
953,359165,65179
954,359165,64791
955,359165,65386
71931,438198,81055
16311,392662,74331
133375,475134,90785
52760,422057,68526
98433,462306,82965
961,371810,68383
962,371810,67443
963,371810,70373
8001,384858,72857
965,379118,64251
966,379118,64903
967,376720,69901
968,376720,68240
969,376720,69643
970,376720,69937
971,373180,70073
37373,402868,74028
973,373180,68609
