id,unit_id,resource_id,sort_value
102,53,16,1
103,54,16,1
104,55,16,1
105,56,16,1
106,57,12,1
107,57,17,2
108,57,16,3
109,88,7,1
110,88,16,2
177,96,8,1
178,96,16,2
181,95,8,1
182,95,16,2
183,94,8,1
184,94,16,2
185,93,8,1
186,93,16,2
189,92,8,1
190,92,16,2
191,40,24,1
192,40,9,2
128,41,22,1
129,41,16,2
130,42,20,1
131,42,16,2
132,43,21,1
133,43,16,2
134,44,11,1
135,44,16,2
193,40,16,3
197,39,23,1
198,39,10,2
199,39,16,3
202,84,3,1
203,84,16,2
204,85,5,1
205,85,16,2
155,52,16,1
156,83,2,1
157,83,16,2
206,86,4,1
207,86,16,2
208,87,6,1
209,87,16,2
210,38,19,1
211,34,19,1
212,37,19,1
213,36,19,1
214,35,19,1
70,58,16,1
71,59,16,1
72,60,16,1
73,61,16,1
74,62,16,1
75,63,13,1
76,63,16,2
98,45,15,1
99,45,19,2
100,45,16,3
