id,room_id,body,sender_id,sent_at,deleted
6,4,Is the government where you live running smoothly?  The state government is very useful where I live.  They solve or are working on a lot of the problems that are popping up.  Is this the same where you live?,5717,2015-03-26 23:24:18.314082+00,f
7,7,"According to the article, Canada scientists find out which animals are at risk, but the government has the power to decide if action should be taken to protect them. Do you think that the government or scientists should make these decisions? Or should they make them together? Why? Use evidence from the article in your response: they should make the decisions because the government makes good decisions and so if they make this decision the decision will be good for not only them but the world.... well Canada!",6700,2015-03-27 15:20:53.804654+00,f
8,6,"""According to the article, Canada scientists find out which animals are at risk, but the government has the power to decide if action should be taken to protect them""                                                                      Do you think that the government or scientists should make these decisions? Or should they make them together? Why? Use evidence from the article in your response""  I think that Scientist and Government should make the decision to save the endangered animals that could be hunted for sport or could be eaten by a bigger animal on the food chain.",6699,2015-03-27 15:24:46.994541+00,f
9,7,"Imagine you held a place of power in your government, what type of laws would you create? Why? I don't think I would create any new laws I will keep the ones we have now but if I had to create one law than I would create the law that well there is too many laws already so the ones I think of are already made... so if I could I would take away a few laws because of there being a lot already so I would not make new laws I would take some away!",6700,2015-03-27 15:25:16.21155+00,f
11,7,Ask your PenPal a question about what the government is like in his or her country. what is it like where you live? if you could change one what would it be? How many new laws as the government would you make? (saying you were the government) !,6700,2015-03-27 15:28:56.374408+00,f
12,8,"According to the article, Canada scientists find out which animals are at risk, but the government has the power to decide if action should be taken to protect them. Do you think that the government or scientists should make these decisions? Or should they make them together? Why? Use evidence from the article in your response.
I think they should work together because they could come up with a idea together that everyone will agree on and a idea that will actually help the animals that are at risk.",6694,2015-03-27 15:29:22.349769+00,f
13,12,Hello! :),5292,2015-03-27 15:33:12.681731+00,f
14,6,"Imagine you held a place of power in your government, what type of laws would you create? Why?
If I controlled laws I would create laws for littering, car related violations and graffiti laws.",6699,2015-03-27 15:36:54.755049+00,f
15,6,"Ask your PenPal a question about what the government is like in his or her country.      
Andrea, what is government like in your country? is it positive or negative.",6699,2015-03-27 15:38:58.068763+00,f
16,11,"Imagine you held a place of power in your government, what type of laws would you create? Why? 


I would make laws that any animal that is endangered should be rescued and be taken care of",6696,2015-03-27 15:40:47.883934+00,f
18,5,"Imagine you held a place of power in your government, what type of laws would you create? Why?
I would make a law that you can't litter and if you do so you go to jail for 2 days.
If you own a pet you have to put it back in the wild because they need there habitat",6689,2015-03-27 15:41:20.164963+00,f
17,8,"Imagine you held a place of power in your government, what type of laws would you create? Why? The first law that I would make would be every year we donate matching outfits that do not fit us anymore to the poor.",6694,2015-03-27 15:41:16.623+00,t
19,10,"I think that scientists should make the decision of saving those animals habitats or not because they have more information about the animal movement, predators , prey , homes , hunting style , and breeding numbers and issues . The scientists have never gotten the chance to make these decisions and the government , as you know , has not been doing very well with keeping the numbers of the animals high .There are many tree cutting companies so their habitats are even harder to rebuild .",6688,2015-03-27 15:46:59.132723+00,f
20,11,"According to the article, Canada scientists find out which animals are at risk, but the government has the power to decide if action should be taken to protect them. Do you think that the government or scientists should make these decisions? Or should they make them together? Why? Use evidence from the article in your response. 

Yes because the ecosystem will die out and then every animal is going to be extinct",6696,2015-03-27 15:47:12.794863+00,f
21,4,It's alright i guess it's very concervative.,8366,2015-03-27 15:59:12.88702+00,f
22,14,hi,8370,2015-03-27 16:03:17.909363+00,f
23,15,Hi my name is Helena. I realized that I have never written you an email! Where do you live?  What do you like to do?                   -Helena,4019,2015-03-27 17:19:36.963123+00,f
24,16,"Hi i'm Helena! I am 11 years old and I live in United States, New York! I am SO gglad that winter is FINALLY over! Are you? What country do you live in and do you speak english? Have you ever heard of the robot Pepper? He's SO cool! I heard he is Japan. Do you live in Japan?",4019,2015-03-27 17:22:15.115821+00,f
26,11,Ask your PenPal a question about what the government is like in his or her country.  What does your government do about endangered animals,6696,2015-03-27 20:53:54.471451+00,f
27,11,Buncee isn't letting me log in what do I do,6696,2015-03-27 20:54:44.596826+00,f
28,10,"If I had an important spot in the goverment I would make sure all scientists could share some important lists with animal movements , breeding , predators and prey , food and hunting styles , habitats , and un neccesary deaths . Then the court should vote and then see if their ideas should be thought about and possibly turn into an enviromental issues project .",6688,2015-03-27 21:08:59.224829+00,f
29,10,What is the goverment like in your state ? Doesit effective and important ideas ?,6688,2015-03-27 21:12:18.866789+00,f
30,8,"Imagine you held a place of power in your government, what type of laws would you create? Why? The first law I would have made would have been that every year everyone will donate matching outfits that do not fit us any more to the poor. I would have made this law because it could help people who are poor by giving them cloths to wear that we used carefully.",6694,2015-03-27 21:25:55.942433+00,f
31,8,"Ask your PenPal a question about what the government is like in his or her country.
Mr.Bates do you know a country that has a lot of issues with government every year?",6694,2015-03-27 21:29:18.824966+00,f
10,9,"Imagine you held a place of power in your government, what type of laws would you create? Why?  I would Mack some of the people at lest give 5 dollers to cady",6693,2015-03-27 15:28:48.784+00,t
79,4,What is your opinion on all the changes happening in this world?  How many of them are effecting  you where you live today?,5717,2015-04-03 22:14:20.545863+00,f
326,326,What state do you live in?,9922,2015-04-08 15:23:32.987648+00,f
32,5,"According to the article, Canada scientists find out which animals are at risk, but the government has the power to decide if action should be taken to protect them. 
  Do you think that the government or scientists should make these decisions? Or should they make them together? Why? Use evidence from the article in your response.
I think that According to the article, Canada scientists find out which animals are at risk, but the government has the power to decide if action should be taken to protect them. 
 I think that they should decide together because together they have
more money and the scientists research more than the governmont.",6689,2015-03-27 22:53:44.0629+00,f
33,5,"Ask your PenPal a question about what the government is like in his or her country
Whats the usaul speed limit",6689,2015-03-27 23:12:32.829151+00,f
34,13,"I think that they should make the decisions together I think this because the government hasn't really helped but they didn't do anything major and the scientists helped some endangered animals become back to normal, so then the scientists can help the government be better at making endangered animals become back to normal and make the world a better place!!!!!!!!!!!!😃😃😃😃😃😇😇😇😇😇😇😇😇😇😇😏😏😏😏😏😏😏😏🎉🎉🎉🎉🎉🎉🎉🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🗽🌏",6687,2015-03-29 23:09:59.763372+00,f
35,13,"If I had a place of power in the government I would make laws like everyone are to be treated fairly and their basic needs are met, 2-3 have to be in the cockpit at all time while the plane is flying, each company has to have at lease 2-4 fundraisers for the poor countries like Haiti, Kenya and Ecuador. I would make the first law because sometimes people's basic needs aren't met and they have to live a very hard life. I would make the second law because just recently there was an incident when the pilot went  out of the cockpit and the then co-pilot locked him out and then the co -pilot crashed the plane and everybody on it died. I would make the third law because I would like the more poorer countries to have better education and economy so the people there have better chances of living a normal life.",6687,2015-03-30 00:05:16.158181+00,f
36,13,What is the main government issue where you live ? Do you agree with it or no? How long has the issue been going on??,6687,2015-03-30 00:14:47.308375+00,f
37,19,HELLO FOOL,10226,2015-03-30 01:00:33.871083+00,f
38,20,"Hola Lorena,
¿Qué tal Pen Pal Schools?  ¿Tus estudiantes pueden acceder al programa?  No veo que mis estudiantes han hecho algo.

Un abrazo,

Elizabeth",7686,2015-03-30 16:54:02.497538+00,f
39,21,Your mark for the government issue is C+,6269,2015-03-31 20:38:32.145319+00,f
40,9,what will you do to help  in the inviermeat why or why not,6693,2015-04-01 14:59:11.041741+00,f
41,9,"if you war the gofermeat what will you do to stop war and confliked
why or why not",6693,2015-04-01 15:00:48.795133+00,f
42,24,Yo Miguel,5,2015-04-01 17:58:13.007733+00,f
44,24,Hey,1,2015-04-01 17:59:04.712117+00,f
48,25,get yourself a profile pic you bum,5,2015-04-01 18:06:19.925412+00,f
49,26,I applied you for my 4th classes (4C) but ı think their language will not be enough for this Project so can we delete them from this project,3636,2015-04-01 18:12:24.302618+00,f
50,8,"Hi Maisara,
You grade for the government issue is B. And to answer your question:
Yes there are many places that have problems with their governments. There are a lot of corrupt governments in the world that do not care for their citizens but only about keeping power and making money for themselves. There are other countries that have no real government at all and there are no laws; just chaos.",6269,2015-04-01 21:40:45.086295+00,f
51,8,We are very lucky to live in Canada. Even when we don't agree with the government we know we have the power to change things.,6269,2015-04-01 21:41:23.584574+00,f
52,27,"Calvin, your grade for the government issue is B+ 
Well done",6269,2015-04-01 22:28:52.792116+00,f
53,28,Your grade for the government issue is B,6269,2015-04-01 22:30:09.655883+00,f
54,13,Your grade for the government issue is B,6269,2015-04-01 22:32:20.821554+00,f
55,29,Your grade for the government issue is C-,6269,2015-04-01 22:34:23.602137+00,f
56,30,"Your grade for the government issue is B+
Good job",6269,2015-04-01 22:47:47.877672+00,f
57,31,Great job. Your grade for the government issue is A,6269,2015-04-01 22:48:29.849867+00,f
58,32,Your grade for the government issue is c+,6269,2015-04-01 22:49:57.682153+00,f
59,10,Your grade for the government issue is A-,6269,2015-04-01 22:50:41.037924+00,f
60,33,Your grade for the government issue is C+,6269,2015-04-01 22:51:48.041784+00,f
61,5,Your grade for the government issue is B.  Good answer to the 2nd Canadian ?,6269,2015-04-01 22:52:55.90053+00,f
62,34,Your grade for the government issue is B,6269,2015-04-01 22:54:06.476103+00,f
63,35,Your grade for the government issue is A-,6269,2015-04-01 22:54:42.54103+00,f
